snapshot_date,firebaseid,article_id,page_duration
2021-09-23,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,1508a16d-dc43-4165-9708-1dd2de235df9,78
2021-09-29,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,aadd8482-0ef9-4bc3-a273-a950a6d9f1a5,141
2021-09-29,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,d88935df-1d81-4973-8232-527705a70824,1
2021-09-06,26J4HhQbasXKuJGA2ZeaLWUD9ql2,4bc96a0e-3eaf-4e3e-8f0e-14540a1754c0,29
2021-09-06,vfNPVsHDbYUYtjwtk3vpRTaIE4Y2,19003f28-827b-4d14-bf61-9d5a64244004,42
2021-09-06,26J4HhQbasXKuJGA2ZeaLWUD9ql2,19003f28-827b-4d14-bf61-9d5a64244004,39
2021-09-06,aeHk1UDlN8bla5qQklLqCkuUG3I2,32ddbcdd-14ad-4de1-9a2f-ba7097124553,6
2021-09-07,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,5984d24f-b61e-4586-9373-038405cecb42,143
2021-09-07,vfNPVsHDbYUYtjwtk3vpRTaIE4Y2,66f094a3-acff-4795-be90-253a36ce94de,30
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,66f094a3-acff-4795-be90-253a36ce94de,1
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,affaa755-1329-4497-8df2-45998d3ff6b2,104
2021-09-07,26J4HhQbasXKuJGA2ZeaLWUD9ql2,538a2175-b192-408b-aa22-72ae3124d359,900
2021-09-07,26J4HhQbasXKuJGA2ZeaLWUD9ql2,47598554-1aef-458d-99d0-7fecdb7acce2,26
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,47598554-1aef-458d-99d0-7fecdb7acce2,73
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,47598554-1aef-458d-99d0-7fecdb7acce2,1
2021-09-07,26J4HhQbasXKuJGA2ZeaLWUD9ql2,71f5e10c-cb36-4bb7-9233-5b14415670fb,54
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,69b187df-bb93-4caa-aab2-92de51a0bef5,42
2021-09-07,26J4HhQbasXKuJGA2ZeaLWUD9ql2,21c58b3c-725b-4f42-940b-8ec0c450b849,20
2021-09-08,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,eb27f296-3b8f-4fdb-bee8-2d39903f46dd,34
2021-09-08,26J4HhQbasXKuJGA2ZeaLWUD9ql2,92af8e9a-6ca9-487e-9566-0414cb736e7d,75
2021-09-09,NO7NAN8h6zYImMiaCYwhpeIj3qP2,ecbcb546-e73d-4128-a997-bace90f6929c,113
2021-09-09,NO7NAN8h6zYImMiaCYwhpeIj3qP2,ecbcb546-e73d-4128-a997-bace90f6929c,29
2021-09-09,26J4HhQbasXKuJGA2ZeaLWUD9ql2,33e0e980-37f0-4b39-ac62-eb6e70c02fce,6
2021-09-09,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,88c76663-c1df-41cd-9b6b-a147c567c81a,56
2021-09-09,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,88c76663-c1df-41cd-9b6b-a147c567c81a,2
2021-09-09,26J4HhQbasXKuJGA2ZeaLWUD9ql2,88c76663-c1df-41cd-9b6b-a147c567c81a,39
2021-09-09,9cjQX3oHf7Zfmwlb5eomKxMk9dn2,1f264ee5-e4c8-4d9b-adf5-9c94d79c6393,53
