cluster_id,top_keywords,earliest_published,latest_published,article_count
9661,"covid19, cape town, vaccination, watch, cape, town, site, western cape",2021-09-14T03:32:04.960Z,2021-09-19T12:38:35.117Z,9
9738,"nicki minaj, twitter, tweets, vaccines, vaccine, swollen, testicles, covid vaccines",2021-09-14T13:41:54.090Z,2021-09-17T17:03:44.760Z,8
9551,"kzn, routes, taxi, killed, horror, crash, concern, people",2021-09-13T05:17:19.263Z,2021-09-17T13:31:07.947Z,6
10012,"thirdyear, law, student, street, hawker, dropping, university, lack",2021-09-17T12:20:19.323Z,2021-09-17T12:20:19.323Z,1
9572,"algerian, journalist, charged, glorifying, terrorism, ordered, held, custody",2021-09-13T07:29:57.930Z,2021-09-19T17:08:55.160Z,3
9556,"us open, raducanu, slam, tennis, star, open, grand, lloyd harris",2021-09-13T05:57:11.517Z,2021-09-18T07:38:29.887Z,13
10184,"paul rusesabagina, rwandan, court, finds, hotel, rwanda, film, hero",2021-09-20T10:35:07.047Z,2021-09-20T10:35:07.047Z,1
9708,"met gala, kim kardashian, met, gala, kanye west, attend, kardashian, photos",2021-09-14T09:49:19.587Z,2021-09-17T07:29:05.780Z,4
2431,"phumlani pikoli, author, found, dead, bright, light, gone, soon",2021-04-12T09:42:51.380Z,2021-04-15T10:14:44.957Z,4
8613,"police, ramaphosa, credibility, continues, deteriorate, chief, appoints, new",2021-09-01T04:20:49.687Z,2021-09-05T12:17:49.127Z,6
9016,"dr congo, dead, weekend, attack",2021-09-06T11:30:22.763Z,2021-09-06T11:30:22.763Z,1
9138,"maritzburg united, gift, givers, announce, unique, partnership, beautiful, gesture",2021-09-07T12:41:22.510Z,2021-09-08T04:39:22.057Z,2
9604,"lloyd harris, us open, reaches, careerhigh, atp, ranking, banks, r6m",2021-09-13T10:51:27.453Z,2021-09-13T10:51:27.453Z,1
9659,"mandy wiener, mental health, lessons, osaka, biles, raducanu, need, look",2021-09-14T03:05:47.837Z,2021-09-14T03:05:47.837Z,1
9725,"idris elba, reprise, role, luther, netflix, movie",2021-09-14T12:16:56.223Z,2021-09-14T12:16:56.223Z,1
9752,"hunger strike, palestinians, israel, jails, hold",2021-09-14T16:43:26.673Z,2021-09-14T16:43:26.673Z,1
9747,"african rainbow capital, coal mining, motsepe, exit, metrofibre, prunes, portfolio, interview",2021-09-14T16:08:52.537Z,2021-09-15T10:00:32.143Z,2
9860,"boy scouts, tentatively, defeat, girl, scouts, trademark, case",2021-09-15T17:56:16.807Z,2021-09-15T17:56:16.807Z,1
9902,"treat, round, golf",2021-09-16T04:35:32.977Z,2021-09-16T04:35:32.977Z,1
9815,"style, crush, mapaseka, koetlenyokong, celebs, stunning, afros",2021-09-15T07:41:00.710Z,2021-09-15T20:16:07.610Z,2
9939,"central africa, un, withdraws, gabon, peacekeepers, sex, abuse, claims",2021-09-16T09:49:13.503Z,2021-09-16T09:49:13.503Z,1
9947,"stormers, united rugby championship, european tour, coach, dobson, explains, decision, blessed",2021-09-16T11:38:19.517Z,2021-09-17T04:38:20.010Z,4
9961,"south african, sun city, open, sun, city, prize, fund",2021-09-16T13:44:24.113Z,2021-09-16T13:44:24.113Z,1
9986,"bajaj qute, tiny, modern, depiction, japanese, kei, cars, 90s",2021-09-17T07:13:55.053Z,2021-09-17T07:13:55.053Z,1
9966,"watch, tesla, logistical, nightmare",2021-09-16T15:01:17.233Z,2021-09-16T15:01:17.233Z,1
9720,"reality show, activist, think, help, upcoming, causing, stir, documentary",2021-09-14T11:14:54.513Z,2021-09-16T14:57:16.483Z,2
9965,"piers morgan, fox news, uk, joins, rupert, murdoch, fox, news",2021-09-16T14:58:18.230Z,2021-09-16T14:58:18.230Z,1
9956,"16yearold, cancer, survivor, miss, teen, sa, finalist, shares",2021-09-16T12:57:21.290Z,2021-09-16T12:57:21.290Z,1
9955,"jennifer aniston, doesnt, want, date, celebrity, desire, marry",2021-09-16T12:38:55.857Z,2021-09-16T12:38:55.857Z,1
9893,"home, green, heating, water, innovative, ways, save, dangerous",2021-09-16T04:27:12.933Z,2021-09-17T11:24:12.720Z,2
9528,"horse racing, september, 2021",2021-09-13T04:10:53.787Z,2021-09-18T04:09:54.743Z,6
6233,"survivor sa, immunity, island, mnet, secret, content, producer, witnessing",2021-07-06T04:35:00.877Z,2021-07-06T06:51:30.990Z,6
4751,"ethiopia, tigray, un, abiy, people, famine, conflict, ceasefire",2021-06-01T14:09:35.507Z,2021-07-26T12:00:00.077Z,17
6186,"record, profit, green, anglo, platinum, ceo, iron ore, prices",2021-07-05T06:49:00.377Z,2021-08-27T18:01:18.940Z,29
4308,"wedding, bride, dress, upset, maid, honour, wore, white",2021-05-21T15:53:19.080Z,2021-06-18T13:23:00.940Z,9
