article_cluster,top_keywords,article_count
9573,"problem, burning",1
9824,"joburg, waterfall, city, bigger",1
11031,"spooks, hunt, moles, ssa, scrambles",1
9512,"andile lungisa, anc, overturns, suspension",1
11641,"whoopi goldberg, dating, younger, men, tiring",1
8998,"mom, us, shares, days, life, woman, new, child",40
11347,"parly, probe, committee, chair, interfering, cge",1
9474,"power station, fire, kendal, damages, unit, shut",1
6126,"springboks, georgia, live, v, 1st, test, happened",2
10481,"ramaphosa, asks, un, discuss, reparations, slavery",1
9558,"wits, drone, developers, reach, new, heights, good",1
9413,"trees, uprooted, stolen, kwazulunatal, south, coast",1
9608,"kitchen, meet, rules, sa, teams, cook, success, lazy",4
11243,"sa, review, golf, gtis, sold, month, bakkies, ranger",15
9542,"bulls, stormers, sharks, everitt, urc, rugby, wp, man",16
10018,"jayz, company, ready, rock, mzansi, sundowns, signing",1
42,"sa, billion, profit, ceo, big, new, interview, covid19",291
10938,"blade nzimande, dismisses, claims, da, hates, afrikaans",1
9557,"fnb, ceo, personal, loan, life, connect, ranks, highest",5
11036,"job cuts, transnet, begins, process, voluntary, packages",1
262,"man, woman, found, arrested, death, murder, family, body",524
10843,"married, women, wear, fertility, hats, cultural, experts",1
10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75
9285,"watch, team, effort, snake, catcher, wife, rescue, female",1
9562,"uk, sa, red list, mauritius, ends, ban, travellers, flights",6
10002,"new zealand, children, sa, mother, found, dead, new, zealand",8
11244,"rugby, springboks, tour, kolisi, plan, bok, win, siya kolisi",16
480,"covid19, sa, pandemic, tourism, economy, africa, lockdown, new",215
10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63
11251,"jsc, candidate, judge, chief justice, concourt, high court, white, candidates",35
8922,"iec, registration, parties, candidate, elections 2021, da, elections, analysis",38
9574,"cabinet, retirement, public, basic income grant, new, govt, mpumelelo, mkhabela",14
2495,"city press, us",2
11726,"teko, ties, knot",1
10074,"refiloe, jane, italian, odyssey",1
11622,"matric exam, past, papers, history",1
10069,"500, army, vehicles, destroyed, fire",1
10428,"watch, nicole, richie, sets, hair, fire",1
9797,"greytown, maidens, reed, dance, ceremony",1
10894,"kzn, stepfather, cousin, sentenced, rape",1
11012,"date, confirmed, comrades, comrades marathon",2
10155,"early bird, night owl, sponsored, night, owl",1
10058,"nature reserve, rhino, calf, killed, gauteng",1
10107,"ipl, mumbai indians, live, csk, strong, resumes",1
8696,"vw golf 8 gti, fast, officially, sale, sa, owner",1
9634,"mom, know, son, watch, life, living, opens, birth",20
9962,"van, gogh, drawing, old, man, goes, display, time",2
10498,"public servants, dupe, sassa, r200m, grants, month",1
9877,"watch, finally, available, netflix, film, schumacher",2
10499,"toe, khehla sitole, pick, battles, mcbride, goes, cop",1
10273,"upl, durban, disaster, it, smelled, like, guy, fawkes",3
10735,"pain, heart, good, healthy, risk, sponsored, live, gut",16
9029,"chicken, covid19, sa, opinion, shop, profit, owner, yum",29
6406,"home, like, regular, rugged, diy, bush, trailer, photos",16
9728,"idols sa, ratings, plunge, following, somizi, departure",1
9508,"coffin, found, golf, course, pond, contains, man, buried",1
9581,"erika bornman, mission, malice, tops, bestseller, charts",1
5726,"exclusive, podcast, boys, media, exec, raped, man, tracks",5
10379,"sabc, tv, licence, household, levy, goodbye, hello, wants",3
10751,"killed, crashes, crash, injured, people, death, kzn, roads",7
11353,"nobel, prize, watch, win, 2021, novelist, wins, literature",7
9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35
2813,"opinion, ramaphosa, siya, khumalo, ralph, mathekga, sa, anc",203
10584,"podcast, story, school, david, mackenzie, boys, water, polo",4
9924,"australia, new, nuclear, submarines, watch, nz, stay, waters",4
10110,"covid19, vaccine, pfizer, vaccination, us, people, shots, sa",40
8963,"man, police, pietermaritzburg, woman, dead, kzn, found, court",96
10141,"mom, life, shares, child, family, years, marriage, postpartum",56
10745,"level, lockdown, ramaphosa, sa, moves, alert, govt, gatherings",14
10684,"uk, sa, travel, red list, covid19, quarantine, govt, ramaphosa",19
10128,"arrested, police, man, durban, found, court, cops, kwazulunatal",60
10526,"n2, dead, durban, shooting, toll plaza, driver, trapped, headon",4
10772,"cape town, death, residents, man, kzn, hospital, students, woman",43
8993,"anc, ret, da, mayoral, candidate, makhosi khoza, durban, actionsa",29
11567,"boity, bujy, assault, audio, bujy bikwa, media, personality, bail",5
9544,"chiefs, sundowns, baxter, boss, kaizer chiefs, psl, royal, bafana",18
9074,"daily lotto, powerball, plus, lotto, players, lucky, results, bag",19
10685,"elections 2021, anc, manifesto, ifp, eff, da, ramaphosa, promises",75
10056,"friend, new york, real estate, real, estate, durst, found, guilty",2
24,"covid19, new, cases, deaths, records, south africa, sa, infections",198
11018,"joburg, joburg mayor, mpho moerane, mayor, anc, new, mmc, endorsed",5
11263,"kzn, water, msunduzi, residents, r15m, municipality, sports, field",50
10688,"pay, companies, post office, letters, class action, sa, sham, loan",30
10681,"babita deokaran, exclusive, killer, government, day, job, got, paid",2
10682,"new zealand, murders, expats, set, support, network, struggling, sa",1
9220,"proteas women, windies, odi, bounce, beat, opening, kapp, wolvaardt",2
8924,"zuma, parole, medical, da, board, arthur fraser, questions, experts",34
8920,"covid19, vaccination, patients, study, sa, alcohol, opinion, vaccine",54
11277,"vote, teachers, opinion, time, sexuality, education, campaign, crime",40
10723,"zuma, nkandla, home, address, supporters, jacob zuma, president, anc",4
11213,"giant vegetables, europe, war, pumpkin, italy, declared, world, champ",1
3927,"heineken, distell, south africa, managing, director, set, retire, soon",3
9566,"inge lotz, podcast, story, miscarriage, justice, episode, fred, murder",10
9833,"suspended, high, risk, cfo, fights, mangaung, electricity, distributor",6
9914,"springboks, boks, hooper, wallabies, history, springbok, wounded, rugby",14
10066,"jolidee matongo, it, hard, comprehend, tragedy, ramaphosa, pays, tribute",1
10939,"kuben moodley, gupta, fixer, dubai, middleman, guptalinked, firms, dodgy",4
9549,"verstappen, f1, mclaren, monza, penalty, hamilton, lewis hamilton, crash",17
10689,"david, mackenzie, teachers, polo, analysis, sheena, reveals, complexities",7
10238,"hlophe, gauteng, judges, impeachment, case, concourt, legal action, wants",7
10931,"private equity, jse, ethos, capital, blurring, lines, bruce cameron, need",2
10197,"xolani, luvuno, plan, pit toilets, story, climbed, kilimanjaro, eradicate",12
10994,"mxolisi dukwana, free state, free, state, fired, ace magashule, years, ace",2
11561,"tesla, elon musk, headquarters, gigafactory, cars, california, looks, like",6
6345,"covid19, ivermectin, sahpra, treat, vaccine, vaccine hesitancy, science, sa",24
10739,"fiscal, worry, resignations, treasury, mogajane, amid, concerns, succession",5
11246,"anc, da, elections 2021, election, posters, phoenix, municipality, candidate",96
9704,"chief justice, khusela diko, presidency, evasive, new, khusela, diko, parole",1
9757,"hlophe, chief justice, high court, goes, stay, impeachment, block, ramaphosa",4
9518,"anaemia, rheumatoid, arthritis, covid19, study, causes, heart disease, impact",15
10112,"elections 2021, anc, da, candidate, registration, iec, councillor, candidates",73
11275,"hearing, world rugby, date, rassie, misconduct, set, rassie erasmus, sa rugby",3
9092,"climate change, sa, climate, climate finance, waiting, bailout, keeps, pursuing",6
11282,"facebook, outage, instagram, whatsapp, whistleblower, social media, hit, global",35
10765,"fathers, babies, child, home affairs, unmarried, register, mothers, involvement",4
10758,"df malan, name change, hoërskool, governing, body, refuses, request, referendum",2
11025,"gateway, robbery, shopping centre, watch, security guard, shot, dramatic, jewellery",5
11248,"expert, beitbridge border fence, poorly, built, highsecurity, barricade, cost, r300m",2
10856,"public protector, mkhwebane, withdraws, opposition, zille, colonialism, tweet, report",8
11333,"squid game, netflix, phone number, game, calls, quid, internet service provider, south",10
10351,"karpowership, licences, energy regulator, karpowership sa, approves, generation, sa, rocks",5
9635,"tobacco, johann van loggerenberg, sabotage, bribes, time, probe, claims, british american tobacco",5
10716,"facts, nicotine",1
9010,"affair, know, baby, mine",1
11536,"explainer, popia, land, jail, caught",1
10554,"united rugby championship, wrap, round",1
9648,"prehistoric, winged, lizard, unearthed, chile",1
10866,"achmat, hassiem, life, support, danger, family",1
10115,"open, letter, concerned, direction, irr, taking",1
11474,"jeremy vearey, key, fix, police, leadership, cop",1
11351,"baby shower, mashelembe, provincial, melts, hearts",1
11399,"south africa, fuelefficient, hybrid, vehicles, buy",1
11328,"couple, friend, takes, dog, km, trip, days, special",5
9459,"italy, warns, misuse, herpes, drug, covid19, treatment",1
2135,"bike, mountain, mtb, race, gravel, cycling, bicycle, sa",108
11249,"western cape, killing, scarface, trip, da, municipality",1
10619,"cape town, establishments, world, best, restaurants, list",1
9160,"court, eskom files, slush, fund, limpopo, mec, case, takes",5
10776,"kzn, water, areas, letters, blocked, drain, spills, street",15
10127,"woman, years, dad, raping, grooming, daughter, outcry, man",7
9099,"holyfield, boxing, great, evander, set, return, ring, trump",3
9517,"level 2, liquor, stores, open, fridays, better, extra, hour",2
9532,"police, man, cape town, kzn, killed, murder, found, robbery",81
10806,"indian, wells, withdraws, osaka, feels, itch, tennis, return",4
9676,"t20, knockout, dolphins, aim, best, bowlers, tuskers, prepared",2
9405,"anc, russia, love, company, owned, putin, billionaire, oligarch",3
10754,"love, leave, sex, dear, white, people, like, relationship advice",50
11637,"retirement, twobucket, system, sa, pensions, massive, boost, new",3
9616,"zuma, concourt, court, medical parole, dear, mr, president, case",15
10731,"election, german, merkel, scholz, germany, win, social, democrats",6
11344,"bafana, ethiopia, bafana bafana, broos, hugo broos, time, coach, sa",22
11564,"jsc interviews, high court, names, recommended, gauteng, high, court",1
9534,"elections 2021, anc, iec, registration, voter, weekend, candidate, da",68
10826,"opinion, letters, warren, fernandez, covid19, crisis, points, climate",13
7732,"toyota gr yaris, letter, paid, deposit, secure, knowing, r715k, price",5
10707,"brian laundrie, gabby petito, fiancé, fbi, laundrie, parents, is, death",9
9603,"anc, iec, elections 2021, court, magashule, suspension, battle, dismissed",17
10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32
11299,"covid, patients, covid19, infection, longterm, symptom, oxford, researchers",15
11281,"pandora, papers, revelations, inside, zimbabwean, tycoon, billy, rautenbach",8
11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33
9361,"correctional services, mnikelwa nxele, watch, armed, guards, block, kzn, head",1
10794,"lewis hamilton, driver, formula 1, toby venter, interview, coming, sa, kyalami",3
11692,"watch, motshekga, matric exams, angie motshekga, countdown, angie, matric 2021, help",2
9477,"mamokgethi phakeng, lgbtqi community, uct, vicechancellor, apologises, lgbtqi, community, online",1
11613,"best, wheel, mtb, riding, year",1
10461,"daniel craig, james bond, james, bond",1
10089,"know, mother, danger, children, signs",1
9152,"game show, bay, family, appear, sunday",1
11173,"perfume, lasting, day, making, mistakes",1
11114,"trade surplus, august, rebounds, unrest",1
10630,"kenya, bans, blasphemous, film, gay, lovers",1
10096,"paralympic, swimmer, achmat, coma, hospital",1
11746,"ft, uefa, nations, league, final, spain, france",1
11270,"letters, late, dont, build, new, dams, kzn, bizarre",5
8443,"nicotine, primary, cause, smoking, related, disease",1
10980,"cape town, look, view, space, main, dam, filled, bad",2
10888,"angelina jolie, weeknd, spotted, second, dinner, date",1
2173,"local, football, new, talent, kzn, sport, club, women",105
10510,"vir, van, en, despatch, tot, sa, wel, wêreldberoemde",20
11357,"snakes, guide, unusual, rescue, dozen, green, water, kzn",4
9531,"family, covid, industry, sons, sea, gangs, london, hailed",30
10109,"bakkie, driven, swansong, trip, current, ranger, ford, new",4
11177,"new development bank, enoch godongwana, appointed, governor",1
9762,"sa, bakkie, new, ranger fx4, review, topspec, triton, takes",5
10687,"bike, bag, bosses, mtb, helmet, slovenia, retro, singlespeed",10
8947,"covid19, cases, new, deaths, sa, confirmed, increase, records",10
10162,"opinion, children, women, health, killed, parents, law, youth",29
11205,"public servants, salaries, wont, affected, review, department",1
9804,"company, director, fake, vat, claims, woman, handed, suspended",5
9589,"level 2, lockdown, sa, smaller, shows, covid19, curfew, starts",10
10044,"plans, womenowned, bank, crash, cooperative, weeks, pay, money",1
11359,"sa, uk, travel, uk red list, tourism, season, covid19, vaccine",20
10602,"spur, native, american, imagery, fresh, costs, open, rocomamas",2
10147,"uk, shortage, gas, suppliers, co2, cause, christmas, cancelled",9
10786,"years, music, review, art, celebrate, singer, know, collection",27
8959,"covid19, vaccine, coronavirus, us, cases, vaccinated, covid, sa",71
10968,"getting, healthy, summer, jamie, oliver, brunch, favourite, meal",2
11461,"post office, medical aid, update, asks, govt, help, medical, aid",1
11639,"da, phoenix, posters, racist, kzn, steenhuisen, removes, decision",7
11284,"killed, kzn, man, police, pietermaritzburg, shot, found, shooting",74
10123,"zuma, medical, downer, records, court, legal, law, constitutional",20
10766,"afghanistan, afghan, us, taliban, collapse, biden, icc, prosecutor",7
11225,"believe, it, university, pretoria, student, submits, master, thesis",1
10555,"bertina, engelbrecht, new, ceo, clicks, ramsunder, quits, australia",1
9520,"covid19, vaccine, us, vaccination, vaccines, study, covid, children",89
9428,"sa money report, podcast, measuring, economy, slow, climb, darkness",1
9376,"michael schumacher, different, brain, injury, reveals, wife, corinna",1
10782,"sa, volkswagen, mercedesbenz, golf 8 gti, opinion, vehicles, id, buy",9
9655,"uk, sa, update, covid19, vaccines, minister, accepts, recommendation",4
10899,"shembe, durban, congregants, march, pics, bring, complete, standstill",4
11247,"eskom, load shedding, stage, severe, de, ruyter, eskom files, treasury",10
11301,"siya kolisi, rugby, family, rise, book extract, recalls, smoking, weed",14
6,"opinion, sa, anc, women, south africa, ramaphosa, human rights, covid19",460
10140,"petito, gabby, body, found, youtuber, gabrielle, missing, disappearance",13
91,"rape, police, sexual assault, australian, case, court, minister, alleged",161
11033,"zweli mkhize, siu report, wrap, ramaphosa, defends, despite, siu, report",1
7631,"killer kau, heartfelt, mpura, killed, amapiano, artists, girlfriend, riky",7
9641,"steinhoff, settlement, liquidation, pepkor, help, fund, billion, postpone",5
11198,"princess beatrice, queen elizabeth, reveals, baby, girl, sweet, nod, queen",1
9614,"remake, film festival, french, abortion, film, wins, femalefocused, venice",7
11607,"tobacco industry, exclusive, sars, accepted, donations, leaked, docs, show",1
8348,"covid19, vaccination, vaccine, western cape, sa, million, vaccinated, schools",74
10854,"flysafair, starts, flights, mauritius, december, starting, kenya airways, saa",4
9523,"interception, ssa, rica, judge, concerned, unceasing, unlawful, communication",5
9808,"thando thabethe, aka, responds, cringey, interview, backlash, handled, better",1
11285,"covid19, vaccination, vaccine, digital, certificate, vooma, western cape, target",26
10016,"imperial logistics, shareholders, greenlight, sale, dubai, ports, soe, share price",2
11088,"princess charlene, sa, prince albert, sharon stone, attends, bond, premiere, sharon",2
11375,"david mackenzie, coach, faces, disciplinary, hearing, claims, inappropriate, behaviour",3
10817,"basic income grant, huge, unintended, consequences, business, body, food prices, squeeze",3
10595,"higher education, precautionary suspension, ramaphosa, explains, dg, placed, precautionary, suspension",1
9764,"bamboo, handlebars, best",1
11727,"cape, homeowner, black, tenants",1
11652,"grand prix, f1, live, 2021, turkish",1
11708,"survival, mango, questions, answers",1
8591,"diet, consisting, mainly, fruit, bad",1
10283,"medical aid, cost, lower, owner, medscheme",1
10738,"reactions, rami, chuene, announces, married",1
11608,"cape town, offices, filling, joburg, emptier",1
11736,"watch, lions, surround, tiny, car, rub, bonnet",1
10643,"free, medium, expression, sparking, joburg, car",1
2389,"thamsanqa, malinga, leon, maimane, god, particle",2
7887,"dj fresh, shuts, ntsiki, wont, pay, penny, lebyane",2
10788,"rand, hit, sa, bleeds, amid, concerns, china, woes",4
11584,"meet, luna, senior, trail, dog, mountain, bike, mtb",2
11411,"baby names, trends, according, ultimate, baby, names",1
10045,"chess, icon, sues, netflix, queen, gambit, portrayal",1
4078,"car doctor, restore, car, headlights, look, brand, new",1
6356,"imperial, dubai, giant, buy, sa, deal, takeover, wants",4
9740,"car accident, beloved, enoch, mgijima, councillor, dies",1
9551,"kzn, routes, taxi, killed, horror, crash, concern, people",6
10567,"lions, urc, opener, stormers, italy, bulls, united, rugby",7
10737,"sundowns, swallows, chiefs, mtn8, mtn 8, ct, city, bafana",27
9569,"will, dies, nthabi, answers, legal, questions, archive, way",3
10284,"sa, plans, power, coal, fossil fuels, investing, gas, needed",5
10116,"blacks, bok, boks, springboks, test, nienaber, black, players",37
11223,"emily, ratajkowski, claims, robin, groped, set, blurred, lines",1
11305,"royal, psl, baxter, mamkhize, benni, talk, officiating, called",14
9640,"sca, rules, mkhwebane, bid, redeem, report, prospects, success",1
8944,"city power, eskom, hiding, r500k, board, fees, eskom files, city",2
10973,"royal, ethekwini, sponsorship, vanity, project, party, come, end",3
11112,"ahmed timol, judge, officially, strikes, case, death, court, roll",1
11409,"watch, cardi b, opens, delivering, newborn, accused, surgery, snap",4
11391,"unlawful, cape town, bylaw, golf, courses, housing, western cape, da",9
10065,"blitzboks, sevens, overpower, mexico, vancouver, opener, clean, sweep",2
10724,"sa, businesses, opinion, women, digital, new, programme, south africa",32
11654,"apple, juice, recalls, amid, concerns, woolworths, products, mycotoxin",4
10164,"win, community, library, barbara masekela, poli, theatre, takes, model",34
10305,"britney spears, netflix, britney, vs, spears, instagram, sharing, photos",5
10143,"blitzboks, team, canada, vancouver sevens, cruise, title, powell, praises",6
10124,"pietermaritzburg, residents, city, park, ramaphosa, mountain, rise, stand",41
8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50
11568,"khehla sitole, suspension, notice, cop, served, report, presidency, confirms",4
9535,"kzn, municipality, residents, msunduzi, coast, power, offices, infrastructure",33
10199,"patient, kimberley, hospital, arrested, stabbing, doctors, water shortages, sahrc",3
69,"anc, da, iec, elections, local government elections, political, ramaphosa, parties",274
8359,"babita deokaran, deokaran, murder, whistleblower, babita, whistleblowers, state, appear",18
7706,"pools, t20, cricket sa, confirmed, provincial, knockout, competition, cricket south africa",2
10516,"king, misuzulu kazwelithini, buthelezi, rubbishes, claims, poisoned, zulu royal family, seeking",5
10501,"gravel, road, tarred, decades",1
10857,"youtuber, mel, thompson, dies",1
9483,"currie cup final, ft, bulls, sharks",1
8786,"car, selling, motus, avoid, sale, scams",2
10677,"sued, bride, kicking, bridal, party, cut, hair",1
10941,"trump, book, music, man, calm, rages, new, reveals",2
8981,"new, suv, driven, hyundai, renault, kiger, sa, pulls",7
11471,"f1, figures, named, new, tax, avoidance, leak, report",1
8346,"new, going, read, sex, women, white, lotus, beautiful",41
10796,"danish, man, found, buried, treasure, iron, age, metal",1
10463,"certified, big, brother, bromance, drake, damien, hirst",1
9352,"food, poverty, line, money, need, survive, sa, stats sa",3
10146,"sasol, come, emission, target, climate, govt, let, rich",9
10869,"new bakkies, lifestyle, business, mahindra, launches, sa",1
10868,"banking, future, fraud, takes, debit, card, listen, smart",14
10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11
23,"sharks, bulls, lions, stormers, bok, coach, rainbow cup, sa",362
10103,"bride, groom, refuse, let, photographer, break, eat, deletes",1
10217,"killed, sources, mali, people, injured, grenade, attack, bar",6
11237,"plane crashes, small, building, outside, milan, onboard, die",1
11374,"unmarried, father, register, child, surname, mother, consent",1
6757,"sa, junk status, godongwana, help, debt, cities, cliff, moody",7
9613,"alleged, arrested, case, bail, application, court, kzn, seizes",13
9072,"us open, us, open, lloyd harris, slam, zverev, djokovic, grand",16
9978,"deep, dive, boucher, wrong, revered, historian, odendaal, 1990s",2
252,"fuel price, petrol, fuel prices, prices, diesel, aa, april, set",26
8940,"spar, grand prix, women, race, ethiopian, cape town, nare, runs",4
9717,"lerato, sengadi, celebrates, hhp, birthday, song, amapiano, star",13
1007,"cape town, city, housing, western cape, cape, land, da, residents",110
10113,"opinion, siya, khumalo, insurance, plan, countries, fail, protect",7
9854,"va, waterfront, continues, bleed, vaccine, delays, tourists, away",2
10673,"desmond tutu, cape town, pics, loathsome, shock, mural, cape, town",1
11709,"fury, wilder, classic, heaviest, trilogy, showdown, knocks, retain",3
9527,"proteas, series, win, t20 world cup, t20, sri lanka, spinners, csa",20
9533,"questions, family, answers, burning, dubai, firing, warning, shots",8
9002,"steinhoff, settlement, liquidation, support, plan, bid, case, vote",8
9541,"wallabies, springboks, boks, bok, coach, blacks, nienaber, pollard",38
9521,"covid19, sa, cases, records, western cape, new, infections, million",17
10161,"eskom files, fire, sabotage, treasury, delays, drove, eskom, majuba",1
10721,"netflix, international, viewers, times, likely, visit, sa, watching",2
9326,"rid, stubborn, fat, weight loss, grazing, gorging, skipping, better",2
10755,"court, architect, nkandla, case, jacob zuma, zondo, ramaphosa, trial",16
10236,"justice, dept, ransomware, maintenance, payments, food, mom, anxiously",5
11273,"new, covid19, deaths, south africa, cases, records, infections, increase",11
9241,"pirates, sundowns, chiefs, swallows, clash, fallout, coaching, squabbles",10
9957,"survivor sa, season, winner, crowned, immunity, island, finale, promises",3
9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5
11100,"lions, scarlets, matchday, unchanged, clash, influential, kriel, improving",3
11360,"turkish, lewis hamilton, hamilton, gp, red bull, f1, turkish gp, grand prix",16
9712,"whoopi goldberg, met gala, valentino, met, gala, people, helping, brilliant",1
137,"eskom, zondo commission, ramaphosa, zondo, state capture, claims, de, ruyter",148
11449,"higher education, dg, nzimande, appoints, nkosinathi, sishi, training, qonde",2
11252,"unrest, alleged, instigator, pietermaritzburg, brookside, mall, durban, case",28
11452,"soap wars, lifebuoy, rival, finally, succeeds, quashing, infection, protection",1
10188,"rosemary ndlovu, insurance, appears, court, legs, shackled, threatening, journalists",5
11630,"princess charlene, prince albert, princess, charlene, admits, return, monaco, complicated",2
9144,"scott disick, amelia, kourtney kardashian, hamlin, break, following, kourtney, kardashian",2
9943,"value, volume",1
10544,"somizi, bad, books",1
10797,"turn, daily, walk, workout",1
10653,"councillors, failed, people",1
11729,"rich, insure, trees, gardens",1
10418,"water, education, reach, wider",1
11714,"eu, bans, additive, sweets, cakes",1
11074,"boy, dies, infected, us, splash, park",1
9951,"devil, returning, marlena, days, lives",1
11617,"kaizer chiefs, suffer, massive, nurkovic, blow",1
10330,"diepcity, wins, big, 5th, royalty, soapie, awards",1
9467,"stop, sharing, hubbly, bubbly, warns, health, expert",1
9702,"boris johnson, mother, charlotte, johnson, wahl, dies",1
9665,"farewell, fond, friends, officers, steenberg, station",1
10142,"davis cup, sa, venezuela, lloyd, ease, win, new, skipper",2
10200,"officials, gauteng, kzn, company, family, ties, anc, mpl",5
10376,"ahead, saa, takatso, takeoff, makes, clear, involved, days",2
10272,"school, teacher, local, leaders, protest, zuma, kzn, south",6
10872,"anele mdoda, sustains, minor, injuries, hit, car, disbelief",1
608,"covid19, vaccine, vaccines, jj, astrazeneca, pfizer, study, us",241
10936,"daily lotto, powerball, plus, players, lotto, results, day, ke",10
10521,"springboks, blacks, 100th, test, clash, wallabies, show, black",16
11242,"covid19, vaccine, us, booster, pfizer, risk, children, increase",27
9071,"eskom, senior, court, dg, face, money laundering, manager, wins",12
11378,"weather, update, warm, expected, tuesday, cloudy, country, fine",9
11403,"strike, cosatu, numsa, tools, demands, impact, stayaway, workers",10
7826,"feel good, restaurant, staff, sing, chant, customer, leaves, r85k",1
8918,"hamilton, f1, gp, teammate, bottas, russell, mercedes, italian gp",31
8994,"work, real, sa, small business, costcutting, ideas, owners, trying",14
9434,"councils, slow lounge, comair, wants, sell, business, firstrand, sa",3
9636,"prince andrew, assault, sexual assault, runs, mum, sex, case, kicks",3
10060,"illegal protest, cape town, lockdown, antivaxxers, stage, cape, town",1
10469,"koeman, messi, underfire, refuses, answer, questions, bizarre, barca",3
10400,"pics, endangered, humpback, dolphins, seven, killer, whales, spotted",1
10696,"covid19, new, western cape, third wave, wave, records, sa, infections",10
9524,"inside, government, mounting, directorgeneral, vacancy, crisis, means",1
11743,"tamaryn green, shares, photos, beautiful, blessed, umembeso, ceremony",1
