e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
4. Good User,v7D3iWv80USIs8lFPfZ9tojwYvx1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,4,464
3. Normal User,TAdSBCC8bHMHBrFPRQs4XmgTnGb2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,19.5
4. Good User,yH81IEJo7Ec8JSMcTZ5qLgDshlG2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,4,279.75
3. Normal User,eKPLEYv708dD0WOjrU4Y4S3JB882,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,5,56.6
3. Normal User,0H1GBoAHdCZApa88fLRBFDKq8X23,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,900
5. Super User,i5vBEriWl2gtORbLJOvaKIMPnlz1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,6,25.5
3. Normal User,EEEVceucxyPNL0Wxk9yd2EPsDOK2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,119.5
4. Good User,phk0gwaBnFU1hmA4A3t8cCZMuPl2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,4,684
3. Normal User,6gLpqBEhCRhDys2Q22spHZoO4Wt1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,895
3. Normal User,Hj0pOfc2b0TeOycLpZ8OdSjVIdf2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,30
3. Normal User,0yYwZKci9kS2I8Z6GxK19y2T4wD3,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,64
4. Good User,H0MrAHAHqIVqpHWqM4474nkTbQ23,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,3,199.67
2. Low Score,oOurABBUUJgGIyMXLZiky7Tw2612,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,900
4. Good User,xppY7HLMLga9sRhE5f5qpMPTH7l1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,5,112.4
3. Normal User,XE46cBq8v6ffs06OYyzCJck6mgJ2,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,1,44
3. Normal User,vY3N5bdZETMijK1GvyV4oES3u8J3,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,2,31
4. Good User,Nt7Oc3zPHOMBWCIWyYsuk53lQnx1,10692,"man, murder, police, arrested, court, shooting, taxi, kzn",75,5,412.2
3. Normal User,lZozSvUW6GMO3h8Jp5oMQRJTcUk1,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,36
2. Low Score,pFR4qmC1uvNQlIli7ayHDKxdRvQ2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,1,26
3. Normal User,SD48ibXb1te8Nf9qSkbe5vTU8HO2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,476.5
3. Normal User,Z2WLlcIoOAZSBiiQYZViWVpdtNf2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,4,379.75
3. Normal User,GXatykctOygR2heRiChVLe7LZzv1,9932,"podcast, boy, hanged, words, express, loss, child, father",5,1,550
4. Good User,O1Y8zJ7DpmftIyb3ec528AU0oGF3,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,112
1. Very Low Score,XxR9FptDBmdAgJfLTO1KWPnpP3I3,9932,"podcast, boy, hanged, words, express, loss, child, father",5,1,13
2. Low Score,wnykyyzX0rN9qNEFD4m2O7x9r1i2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,54
3. Normal User,QloW3DXAsucAeFUcu3BVmIlyjvm1,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,142.5
2. Low Score,8Pdq5r6Lg5Z76uVCLXp0PYAjuFD3,9932,"podcast, boy, hanged, words, express, loss, child, father",5,1,14
2. Low Score,A5Ve7DEOkxbHikwPH0y5jOkm4pO2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,1,44
4. Good User,T80ZZ2YlkQhbt1KR2snwqGn5fII2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,5,123.2
3. Normal User,8w8USpv6UEPeMfL7tvDedss0jIm1,9932,"podcast, boy, hanged, words, express, loss, child, father",5,2,23
4. Good User,QI16HylJcNeui4qrlHuKWmjZk0k2,9932,"podcast, boy, hanged, words, express, loss, child, father",5,4,269.25
3. Normal User,Q64SLZvdcPMfp5hrEETszBNS2W72,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,2,40.5
3. Normal User,G9QpeuyiiyNGEC572hn95IrYYea2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,3,105.67
2. Low Score,SkMp5ASomchgXwZmqIRB5GhYEw32,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,53
4. Good User,hX6GpwmYYIdzTAMcNmcCSJfqHa33,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,4,460.5
3. Normal User,aHBJZerdHDcY3gs5C9lQYbbD80S2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,2,498
3. Normal User,jwUojOCEHYWRY6MouJ2eJgiGH3u2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,155
2. Low Score,CvWPXULJfWYpQup0wAO1WAhPLH32,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,1,120
4. Good User,lycYfB4RgKOA7iZBR5sxcbgC2KM2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,2,249
5. Super User,IBmrRgrvkYQfbRTP2fGvx5zXYyy2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,10,136.7
3. Normal User,znMAotx2s4gFzjkOfjvI7WSEDLN2,10186,"sa, uk, travel, us, travel restrictions, lift, time, know",11,3,74
