e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
3. Normal User,mYwKkuMsToPAKRd7j1h3Pw1lI8y2,10197,"xolani, luvuno, plan, pit toilets, story, climbed, kilimanjaro, eradicate",12,2,131.5
3. Normal User,cnP5YaAAHLZ1aPFySXHr4aJEjAR2,10197,"xolani, luvuno, plan, pit toilets, story, climbed, kilimanjaro, eradicate",12,3,33.67
3. Normal User,vd3QhXtzWGMUwZMQepYiX3JkD3C2,10197,"xolani, luvuno, plan, pit toilets, story, climbed, kilimanjaro, eradicate",12,3,137
4. Good User,bZhfD9gcPuhQCQAdHLypl0VcfYz2,9666,"beaches, kzn, ethekwini municipality, tests, sewage, remain, closed, north",3,9,8.56
5. Super User,gAiRosOqjqbiBiFY982p8LyT6JF2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,11,302.73
4. Good User,n2ggEYFBgPhSItuRqHGSKtdXlfG3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,25
4. Good User,PmzEoNGFcDTdVQ6Yndr3VuhnOB13,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,240
3. Normal User,K5RAc6DW5CTx0jo29D57E0q46zI3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,1,279
4. Good User,pgKF1j8CpneNzVbxOrc0RGh0afq2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,8,282.5
3. Normal User,SD48ibXb1te8Nf9qSkbe5vTU8HO2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,358.5
4. Good User,veTqDjhckxVvtICeh07vvBSPyEk1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,5,64.2
4. Good User,R7J9lHd2Mxd0apotdbfJ69IP7gX2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,143.86
5. Super User,9RVZLQjI83eLal62xBRInfqTw0Z2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,330
4. Good User,MzLHFABqdCTkSy3z4aicLYmUvCL2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,2,455.5
3. Normal User,NrVXAbePHshqKNXyTdj35pXZq4A2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,219
2. Low Score,FoLaT0LPgLWvO7zYoOCR3JC2vzq1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,31.33
3. Normal User,xapIjy13vmNtMtSVg5AOluOAlVw2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,377
4. Good User,nRjVlm3pp1dsrSrf7VP6Fne3IQg2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,648
4. Good User,EfYWSQoS91NMr7G8x304Qn189OG3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,5,463
3. Normal User,1HDwkzQaeMYHMaLz386csKdz04B3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,104.5
3. Normal User,MFhwONVQDUVtsHXgr4ncyYkru0I3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,242.67
5. Super User,7cmNZ7oM9OZaQXX1ZuKiBld7PvJ3,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,8,228
4. Good User,JNAkDA90hEZzYbgpSo8NlHVksii1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,300.75
2. Low Score,Q43Ocq3bmQafoLGgmvxwtzwQEax2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,77.67
4. Good User,zskj8YJPYtVPAq0WtsaXVMVkUUw1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,221
3. Normal User,Q043jwPxfQfU0u9jpJjS0Bap70N2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,2,40.5
4. Good User,y04cegqGmAdhCJrIbE5EXuFmvyB2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,440.67
4. Good User,Mc8NaLwUyEdF11luBe1dWuUy9pK2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,168.29
4. Good User,MHJmyOg9D0VrhhwLWk3gR47H5Bw2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,5,100.8
3. Normal User,bf5X7cyzfkVtdd0BtbsTinVXTY62,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,5,203.8
4. Good User,wIOyDIS6PkPINzaCe2F6Sjgulcs2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,1,0
2. Low Score,d6WSPWlpImfg26hFEXswYiyC4xM2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,2,209
4. Good User,kRbbBr6ZToQr8huq8OlkwXdUt6n2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,9,334.56
4. Good User,8noWRlxcqpZ0qPcdISybasMCqyq2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,449.67
3. Normal User,Y3EuIkh3tNUfMCr8ATY83P6x1AO2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,172.75
3. Normal User,1JEp4xIiBuRhohuYPHSGsfomAlu1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,488.33
3. Normal User,TXei9gCmsccJUbIGuj0OuSnwME72,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,4,18
4. Good User,CSIavFX7lNWUPfJgGRdGemroES82,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,310.71
2. Low Score,bmy5whGnzBYJdUJmBh2g0mWCbii2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,1,680
4. Good User,EQMrNHFYjqNh4iQdg6q63wCCgkP2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,194.71
3. Normal User,A7Qeb4eozKaftgEtJnxowRB99bU2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,325.33
5. Super User,F2PNJWKYtLP8XOwhvQLtcmKasgo1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,15,186.67
3. Normal User,5Yf5o3WslVM9u9CbSFXdHp7Vg8x2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,3,9.67
3. Normal User,tyrcL9LDmJMLC3FMXL2ebSPFIC73,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,23.83
5. Super User,xuhTxu0NWaZ7x6i8QIEj4oYPyYx2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,8,397.25
4. Good User,9vcOv7DcVaciIxGjB2vembLdiIf1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,7,194.43
3. Normal User,2IjrPlnKy9gK5Ltx5intqmGWM7B2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,2,269.5
3. Normal User,Qb90hQV31aaGLZSF8cFSiMNhnsp1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,2,101
4. Good User,d5VJ2itcgVRdJgSKSZaEC2l3yrr1,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,9,14
3. Normal User,6JkWnvKX30NXMb0B3lNNFMCHaMG2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,1,334
2. Low Score,X1Tky31WKHV91MrhYjpB47j7BMT2,10827,"digital vibes, report, siu, mkhize, health, siu report, ramaphosa, damning",32,6,12.5
4. Good User,DHNO9AnQQUSlef2lc2XpRWjz4qy1,10718,"f1, lewis hamilton, hamilton, formula 1, wins, century, best, lando norris",13,3,117.67
3. Normal User,uLDiO6D6RbcQDtEnTy5IZStWoGG3,9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5,3,66.33
2. Low Score,xAXxxekSxJbMpDBYIflq8DVsSFM2,9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5,1,900
4. Good User,WjRQ6NW3fcT0O6OMa3PwmUe3Hlb2,9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5,1,900
3. Normal User,SrRZtJinDicFSmhkKYBX6FHRBmz2,9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5,1,393
4. Good User,L6A4uRR2SkXvMGMDxaQ4E5NXhkq2,9135,"killed, western cape, transport, cape town, taxi, safety, project, records",5,1,0
2. Low Score,eeBTuw60MMTtkWuwqH49aKi1Dd63,10598,"lauren dickason, exclusive, lauren, read, understand, ivf, friend, couldve",4,2,154.5
4. Good User,qmWcKjgDfte0crDiWl8UlENo2WF2,10598,"lauren dickason, exclusive, lauren, read, understand, ivf, friend, couldve",4,4,6.75
3. Normal User,UT9TvZ0HG4Ug9YIkN3rMEhDbHAT2,10598,"lauren dickason, exclusive, lauren, read, understand, ivf, friend, couldve",4,5,116.4
4. Good User,JHJM93FXalP0xc5zAm1lIXXOGhu1,10801,"psg, klopp, man city, champions league, liverpool, guardiola, unsure, goal",12,3,87.67
2. Low Score,UoOD1xzrbGUp1MtuRlF7rfreZZG3,10267,"red bull, mercedes, verstappen, lewis hamilton, hamilton, f1, max, russian",16,1,65
2. Low Score,muOiwmCYnxbzhxphckgVZjy0BPA2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,1,437
3. Normal User,8QMu91f0DGdDMgWSXoclrDLN8Dh2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,4,122
2. Low Score,FxvxDfQYGaOFyGVcu2E85KAE9aB2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,1,150
4. Good User,7ONC28liZWOiyy1EabLygIIqP2F3,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,9,299.78
3. Normal User,U8LUZnTBpORNmCqRJLI0bF9nqvb2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,2,121.5
2. Low Score,pfn0ngLPLEWaHSZqF0iuCdDDZj43,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,3,56.67
1. Very Low Score,2ctd36IQSSOYVdDCxWwySzfSThh1,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,3,67
4. Good User,ALbB1SYmUChw3Zlqg8aef1bW2ck2,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,3,430.33
3. Normal User,2WoIzkFE3fb3ejTcjVQhxqzRiHm1,8938,"sharks, bulls, currie cup final, springboks, bok, rugby, wallabies, loftus",50,3,210
1. Very Low Score,cXLZjvVlflXqKXyOwoHEIIhLW4s1,10320,"social development, bathabile dlamini, watch, minister, bathabile, dlamini",1,1,206
1. Very Low Score,XgRS8jDfBhWsHlbzb6aNvFcFJTF3,8954,"arrested, suspects, robbery, house, kwazulunatal, gqeberha, vehicle, police",16,1,4
4. Good User,1SzqJuYQr3bafXE6oFQ0PSzKhUn1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,122.5
4. Good User,NWO3nzr5eRVIm0DwPUZiJDtkUUx2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,11,64.45
4. Good User,QiSTdc9NX6bnUxxOhrssox5mjGS2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,1,0
4. Good User,IAquNTB7VUgTjLOlwaeMzciPPaG2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,49
4. Good User,V4qrdMSOe6Wle5UF2sxJIARhsWc2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,378.33
4. Good User,RZQx9vH304ffee1GJuoAxJGN3Q23,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,7,177.29
5. Super User,5CkkuSguNNVFyOaiogUHzrizA2f2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,6,309.83
4. Good User,VEqgOFdEceSv5EWoR8FRZul10zw1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,143.25
4. Good User,z8b0niM2N5Z6PMNzDcC8vq7h9HR2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,11,121.36
3. Normal User,rKYqW6gWC5eXoBsu7tCv3ldIIAh2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,311
3. Normal User,K0tktxKdBIUtiIqxlsoVwSTrClw2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,136.25
4. Good User,xRsa6ZtUzUUCYMIk3D6p6SU9eYR2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,305.67
5. Super User,VLwUsInAv8Mr9sfiucRHEe5B9Ue2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,350
4. Good User,yiaKFhGEwMcEi1mUPFe5Wf7uEAp1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,407.2
3. Normal User,FHY7GEOZEFe4wkNwLuV2wqwZdAn2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,6,96.67
4. Good User,suTayRe1SjRfvb2OZt6Z7ErLaCH3,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,7,20.86
3. Normal User,PInTz2TWJVV0KLwfHmK8LBv3u1T2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,1,110
3. Normal User,zFHQ1yNONJZf3zXa7hqdtrUxSz52,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,379.8
3. Normal User,bMl0WZDbmzQ22rxlws8y1t9rXf52,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,267.5
4. Good User,feX5qLA6gtZGlWCdvmPbozH4Yyf2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,211.8
4. Good User,4l0z3bB4oTU5xDQCrUHdMYiukHK2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,286.75
3. Normal User,EtfonJwHjCcmTf33hDscaHzo1LW2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,50
4. Good User,0TgYA6mjaLMUUv2fEEl0mEHvnyn1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,234
4. Good User,cwv2K3ftacQCgEsPUlDFetCtNst1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,236.13
4. Good User,ofIMhYjzjObWKUJ75GphVpO4xU72,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,244
3. Normal User,E5lakWUWUzaowj8GKIYKlwZF7yp1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,351
2. Low Score,O0QefTPJWzbBj6EvONwIqyOMVhp1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,41
4. Good User,WtmCVpgvxedyW4fAIXENRwrPRsM2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,302.75
4. Good User,8CTyIevJTKQWNJb8Sp8skyT4w5b2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,6,254.67
4. Good User,u4wLS3K1CGWdYwzma0QPKd3QXY13,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,78.6
4. Good User,TWhlXGro5ObZdhqBDr31bTB7WN82,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,6,67.83
3. Normal User,9R414ELvegYGDkoGP52F4ijMXFm2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,7,165.29
3. Normal User,W6TJs1I6jecG0qVSybshz1B8VJj2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,451.5
2. Low Score,0mUBEiZBWuMYXGAYk1cOWXnKLx62,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,246.5
4. Good User,biJQjschPeZABNUvmIqKnoR2iri1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,50.38
4. Good User,aSpJJpaOY9TfntHSwnSukFOMXXm2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,96
4. Good User,WF8mmwXsN3TRFX54wn8NzTUl36v1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,11,72.55
3. Normal User,vQaxRJOdNwT9L2u0YWVsklJs8Qg1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,54.5
4. Good User,CrMw7dYPQGQ2PEUIzozwIEoUyRz2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,435.2
4. Good User,fwiS5meI99e06Hj7lyJjJxeWru63,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,6,457.33
3. Normal User,MWvlNwNevrf28LcSJPdNtdt9e4c2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,308.75
4. Good User,Y1FCnoaqMCaB0vRPXJoQPVQpIK82,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,7,97.57
3. Normal User,0o1Vu37gJTcYn2yCqs57wamqJXl2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,393.67
4. Good User,J8pT6sRWFEYlYq0zJjXWK1quah03,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,137.8
3. Normal User,Vc1hdZp2OLYXKpgriPaE8cGoahN2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,421
3. Normal User,JMxfpfri81ZbV9FThi1MxS9j4mo1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,48
4. Good User,Sltm4GHMbpWy2pE5J67k0PZIXR42,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,5,239.4
4. Good User,UDnNKA39rJc0rn5sHbZL7rsAs6q1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,8,225.5
4. Good User,VAN4NiuzlteScFk50sDmLN7FYno2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,69.25
3. Normal User,Bc3E7MJ7dKZYuRiHiyFmRMoz2C33,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,4,32
5. Super User,Jvo5Z8zkDWNUvxTBukJdTTbDTpn2,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,11,263.64
2. Low Score,sOzRbYydC8Rfs53UfETZ8yk06ps1,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,2,452.5
4. Good User,J5g8uYZPRGNm7RdVHrQWDGnlgo83,10715,"blacks, boks, springboks, bok, springbok, win, rugby championship, nienaber",63,3,404
2. Low Score,D9HvABZ2EyeJS15g2zXaeNg8LEH2,11299,"covid, patients, covid19, infection, longterm, symptom, oxford, researchers",15,1,35
3. Normal User,zxcRJ6sWxZVIgbPPfYJSqLTUq0X2,10583,"landscaping, company, workers, arrested, illegally, pruning, acacias, worth",1,2,256.5
3. Normal User,EEEVceucxyPNL0Wxk9yd2EPsDOK2,9708,"met gala, kim kardashian, met, gala, kanye west, attend, kardashian, photos",4,5,241.8
3. Normal User,Z0hNO07RCJdBlighn21vK8rV3kl2,11281,"pandora, papers, revelations, inside, zimbabwean, tycoon, billy, rautenbach",8,1,900
2. Low Score,rlwiviQFsHPA4CQAaamWn63xpRt1,11281,"pandora, papers, revelations, inside, zimbabwean, tycoon, billy, rautenbach",8,2,81.5
2. Low Score,ADwmoG72HsbGMoXR9Us9ZMRZeHI3,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,76.5
3. Normal User,CkRciZPrKwZZMyBXLilQbvUB3NB2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,85.67
2. Low Score,YWlH76DT7PPyPTBTAqkpWBzycAv2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,60
3. Normal User,mM26cfEFHdStdWgzVXZEnmuJCw82,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,178
4. Good User,HuKwbqqgTNUcb34OAWv1PUdHaDu1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,223
5. Super User,uEvEWnfg5AZALe0YxNI6U98Sjxg2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,9,69.78
4. Good User,AHuqV5U7PQYiltBekkNLWgQ6qH72,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,140.8
4. Good User,8pCgLBqjzYbIqy386DmZzUAYfd52,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,68.17
5. Super User,jK1GcvON7lQPcmTk1H2hLLpnNVj1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,12,243.08
2. Low Score,PlEXD2uxxBUnW7chnGsAvOmK3J32,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,1,26
4. Good User,o3QJPRSExhe3BAm3wLIjPOPCjkp2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,222.5
4. Good User,sc9Bg8sDHOeuDrPdi6kWIKpER9c2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,7,181.14
2. Low Score,LWSci9KEuEUk64qcLlgWXv7dVLp1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,339.33
4. Good User,xQifgBGfrweByHNinw5RGe9m8xK2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,8,49.63
4. Good User,tNxyFsJDjrd4QGNhvNkNuAB68MV2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,113
4. Good User,Rt6k57vsFfZ1CPBszhE0Uc7O4sz1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,95.6
4. Good User,LHbpj48I3KexXEqwsQ22KrG2oyX2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,258
4. Good User,2QS3cY6BdARJcFAdE0bLEmlQKzg1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,8,166.25
4. Good User,ZKQK6qOETBhIAroSiSqfTctvi0g1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,8,169.63
2. Low Score,baz0kDhRTPa35XGsN5mscT50NMG3,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,26.5
4. Good User,hcMi0lM7F0gjqkdiWOYl9HoPCSj2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,97
3. Normal User,DFvD4oiAhlYIB6bwHcPwbN8gObQ2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,166.67
2. Low Score,OjWh44lecWctmEdKpeE7hnqkAwo2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,1,116
2. Low Score,ZD9Gc68WbhcYtcTE7DVUAVC9AWc2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,72
3. Normal User,OvhoHYzFw4fTJgpUz4v6axKqfto1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,172.6
4. Good User,XKtzFBB9UGM7eNqNyuRqbMWrEGa2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,142
4. Good User,QYW1vbdOOLZ8qDC2apXTyTJiBIK2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,305.83
4. Good User,WbQJMUYYhgQT6iMSEvQYy9t45Mf2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,290.75
3. Normal User,Ik5kSZbGlETY5qvMrQ1QNzjSbSr1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,152.33
4. Good User,2LE3d3rjuHg3Xk3qr2kWMa6R17E2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,8,77.13
3. Normal User,oVqU4PiMwGhYwm6vYMuQamXtZmS2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,21
4. Good User,wNWp4lGowcXiU4TOcjXRGAUCTJN2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,333.33
3. Normal User,8w8USpv6UEPeMfL7tvDedss0jIm1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,67
4. Good User,BB6cZfsAg4fRfsVKhwqlbt6z3Ko1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,204.33
3. Normal User,sZJqROR1RIMalTsgCBblteDUT693,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,198.4
5. Super User,CSNljfmJKiXhefaA2bnxW5XVxtg1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,11,149.73
4. Good User,41Eca9XfLNbPWpyFOUyttCFWNTX2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,156.25
4. Good User,3mV8JX4UYjbCMVIAgwT6saLFlPI2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,6,322.67
4. Good User,LEggrypq9dXCoxarPPEuDMpuc4l2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,99.67
3. Normal User,yjnPgyR27gZPYoU5fOstKkUspT12,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,90.5
4. Good User,ZGgSrM2qwLY1Hx90vKk4YPpJag03,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,7,76.86
4. Good User,osLNULnIydQBE8mOmCAZWX8Bmyv2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,51
4. Good User,huyDa81uotgXTzIB8wm6KMYmxfZ2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,514.33
5. Super User,pDHf2mpPNYPg1gg4LHVZkyhdhho2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,532.6
4. Good User,CCevyZhi1TP6u16BSFa6A1hgHTt2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,5,366.6
3. Normal User,FKjDHKKQgzb2PKsjMzjmNba8QS03,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,298.67
3. Normal User,V6Hv5hiLUMRU9V4so93dWuAoxhR2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,16.67
4. Good User,VbBpnBGkETMWl5oqxVKWttqjsE63,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,309.75
1. Very Low Score,DC7zOET54Fc3e6T2mpwh8S8eLZx1,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,4.5
4. Good User,pFSTLILDkGN4HHtteNICSFyYbSL2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,4,253.25
4. Good User,sLNiPzHSECOOTKFEbe6Dyz0EFN02,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,2,206.5
3. Normal User,OUHi290oOTdlIM2ugCREoHgHkhe2,11279,"senior, accused, department, court, alleged, eastern cape, mec, allegations",33,3,251
1. Very Low Score,iPwMEua7ZAOOSUjoTiHjmf8WJ8G2,11360,"turkish, lewis hamilton, hamilton, gp, red bull, f1, turkish gp, grand prix",16,2,176.5
