e7segment,cluster_id,num_users,num_reads,total_duration,avg_reads,avg_duration
2. Low Score,2970,26,42,10612,1.62,408.15
2. Low Score,7912,21,34,8655,1.62,412.14
3. Normal User,10143,2656,4313,535848,1.62,201.75
3. Normal User,10252,3138,5095,852278,1.62,271.6
4. Good User,10619,37,60,6452,1.62,174.38
3. Normal User,239,42,68,11682,1.62,278.14
3. Normal User,769,37,60,16939,1.62,457.81
4. Good User,8568,21,34,4249,1.62,202.33
3. Normal User,10,13,21,2929,1.62,225.31
3. Normal User,8457,26,42,3802,1.62,146.23
4. Good User,8567,13,21,1823,1.62,140.23
3. Normal User,2342,13,21,2737,1.62,210.54
2. Low Score,8080,13,21,4285,1.62,329.62
3. Normal User,9077,3612,5828,928312,1.61,257.01
3. Normal User,6955,1146,1848,269622,1.61,235.27
1. Very Low Score,8963,573,920,151406,1.61,264.23
2. Low Score,8531,3093,4987,993139,1.61,321.09
0. No activity for 3 weeks,24,124,200,19222,1.61,155.02
3. Normal User,9639,1095,1764,245753,1.61,224.43
4. Good User,10526,56,90,13795,1.61,246.34
2. Low Score,8373,3994,6419,1509726,1.61,378.0
3. Normal User,6027,18,29,6469,1.61,359.39
4. Good User,9050,33,53,7026,1.61,212.91
4. Good User,8800,38,61,11798,1.61,310.47
2. Low Score,9014,18,29,3901,1.61,216.72
4. Good User,10033,23,37,3043,1.61,132.3
2. Low Score,8934,93,149,21999,1.6,236.55
3. Normal User,128,42,67,17738,1.6,422.33
2. Low Score,74,50,80,15743,1.6,314.86
2. Low Score,9542,885,1412,229323,1.6,259.12
4. Good User,9701,10,16,846,1.6,84.6
2. Low Score,10140,2718,4362,1030335,1.6,379.08
4. Good User,10375,20,32,1997,1.6,99.85
4. Good User,9533,48,77,13818,1.6,287.88
4. Good User,8656,20,32,3267,1.6,163.35
2. Low Score,10314,5,8,485,1.6,97.0
3. Normal User,2596,15,24,1374,1.6,91.6
2. Low Score,9666,35,56,7097,1.6,202.77
2. Low Score,6975,5,8,899,1.6,179.8
3. Normal User,10040,5,8,325,1.6,65.0
2. Low Score,7209,20,32,6853,1.6,342.65
1. Very Low Score,9984,5,8,2869,1.6,573.8
4. Good User,11041,25,40,6214,1.6,248.56
3. Normal User,955,5,8,1355,1.6,271.0
4. Good User,8730,5,8,1153,1.6,230.6
3. Normal User,5601,45,72,12361,1.6,274.69
3. Normal User,8329,40,64,9690,1.6,242.25
3. Normal User,9744,15,24,3131,1.6,208.73
4. Good User,9968,5,8,329,1.6,65.8
2. Low Score,6092,5,8,348,1.6,69.6
1. Very Low Score,8984,5,8,544,1.6,108.8
3. Normal User,7937,5,8,105,1.6,21.0
4. Good User,8977,15,24,2361,1.6,157.4
1. Very Low Score,8426,5,8,1874,1.6,374.8
3. Normal User,2416,5,8,360,1.6,72.0
3. Normal User,828,5,8,2128,1.6,425.6
1. Very Low Score,5726,5,8,1963,1.6,392.6
2. Low Score,5783,5,8,1346,1.6,269.2
4. Good User,10331,10,16,1421,1.6,142.1
2. Low Score,5584,15,24,3945,1.6,263.0
3. Normal User,2516,5,8,2126,1.6,425.2
2. Low Score,7916,5,8,1053,1.6,210.6
